,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Praya,40,ID,1578444908,78,-8.71,116.27,301.15,6.2
1,Bredasdorp,0,ZA,1578444908,88,-34.53,20.04,294.15,2.1
2,Tiksi,97,RU,1578444908,89,71.64,128.87,250.71,2.41
3,Jamestown,0,AU,1578444908,22,-33.21,138.6,300.73,6.5
4,Maragogi,0,BR,1578444844,72,-9.01,-35.22,300.08,5.68
5,Ushuaia,90,AR,1578444909,87,-54.81,-68.31,283.15,4.6
6,San Patricio,0,PY,1578444909,30,-26.98,-56.83,298.43,1.91
7,Port Keats,100,AU,1578444909,72,-14.25,129.55,302.61,2.08
8,Ukiah,90,US,1578444909,62,39.15,-123.21,285.93,1.5
9,Mataura,95,NZ,1578444909,57,-46.19,168.86,287.73,2.48
10,Punta Arenas,92,CL,1578444625,58,-53.16,-70.91,286.15,4.6
11,Bambous Virieux,75,MU,1578444909,94,-20.34,57.76,298.15,2.51
12,Buala,76,SB,1578444909,77,-8.15,159.59,302.13,5.15
13,Dankov,35,RU,1578444909,79,53.25,39.16,268.15,2.0
14,Kenai,1,US,1578444910,76,60.55,-151.26,254.26,1.5
15,Puerto Ayora,75,EC,1578444910,74,-0.74,-90.35,300.15,3.6
16,Bolshoy Kamen,100,RU,1578444910,72,43.12,132.36,264.15,7.0
17,Longyearbyen,40,NO,1578444910,68,78.22,15.63,272.15,17.0
18,Port Hedland,90,AU,1578444910,94,-20.31,118.58,299.15,10.3
19,Aklavik,5,CA,1578444910,72,68.22,-135.01,235.15,1.5
20,Antalaha,33,MG,1578444910,80,-14.9,50.28,300.18,4.39
21,Bonavista,90,CA,1578444910,83,48.65,-53.11,267.59,4.24
22,Luderitz,74,NA,1578444910,93,-26.65,15.16,290.15,1.5
23,Husavik,98,CA,1578444910,78,50.56,-96.99,253.71,1.79
24,Klaksvik,96,FO,1578444911,69,62.23,-6.59,276.15,7.7
25,Taltal,0,CL,1578444911,86,-25.41,-70.49,290.22,0.91
26,Hermanus,0,ZA,1578444911,94,-34.42,19.24,292.59,3.58
27,Gat,99,SN,1578444911,68,14.69,-16.54,292.15,6.2
28,Kaitangata,76,NZ,1578444911,71,-46.28,169.85,285.17,2.15
29,Yellowknife,20,CA,1578444911,66,62.45,-114.38,238.15,1.0
30,Codrington,35,AU,1578444911,43,-28.95,153.24,304.82,2.6
31,Chuy,0,UY,1578444911,61,-33.69,-53.46,292.02,3.54
32,Leshukonskoye,99,RU,1578444911,94,64.9,45.76,268.03,4.41
33,Mahebourg,75,MU,1578444912,94,-20.41,57.7,298.15,1.31
34,Hilo,75,US,1578444818,45,19.71,-155.08,303.15,7.2
35,Severo-Kurilsk,59,RU,1578444912,90,50.68,156.12,267.35,5.88
36,Rikitea,11,PF,1578444912,77,-23.12,-134.97,298.52,8.43
37,Mackenzie,90,CA,1578444912,84,55.34,-123.09,260.15,5.7
38,Atuona,9,PF,1578444912,78,-9.8,-139.03,300.31,6.38
39,Castro,90,CL,1578444912,76,-42.48,-73.76,286.15,3.1
40,New Norfolk,20,AU,1578444912,43,-42.78,147.06,296.48,5.1
41,Nemuro,75,JP,1578444912,85,43.32,145.57,268.15,2.42
42,Torbay,90,CA,1578444912,85,47.66,-52.73,268.71,3.6
43,Le Port,41,FR,1578444913,88,42.87,1.37,278.71,1.34
44,Georgetown,75,GY,1578444913,83,6.8,-58.16,300.15,4.1
45,Nanortalik,100,GL,1578444913,88,60.14,-45.24,267.3,1.93
46,Arraial do Cabo,20,BR,1578444618,88,-22.97,-42.02,299.15,2.6
47,Bethel,1,US,1578444913,68,60.79,-161.76,247.15,7.7
48,Isangel,75,VU,1578444913,55,-19.55,169.27,303.15,7.7
49,Saint George,20,GR,1578444913,68,39.45,22.34,275.93,1.5
50,Atar,5,MR,1578444913,15,20.52,-13.05,283.35,4.26
51,Kapaa,40,US,1578444913,61,22.08,-159.32,300.15,10.8
52,Kavieng,77,PG,1578444914,79,-2.57,150.8,301.65,6.47
53,Kontagora,60,NG,1578444914,24,10.4,5.47,296.23,2.6
54,Port Alfred,100,ZA,1578444914,98,-33.59,26.89,293.71,1.79
55,Huilong,100,CN,1578444914,81,31.15,106.5,281.2,2.17
56,Vaini,1,IN,1578444914,93,15.34,74.49,291.15,1.16
57,Saint-Philippe,90,CA,1578444914,73,45.36,-73.48,270.93,1.5
58,Selma,0,US,1578444914,43,32.41,-87.02,284.15,3.6
59,Tual,100,ID,1578444914,76,-5.67,132.75,301.21,4.04
60,Kloulklubed,75,PW,1578444914,70,7.04,134.26,302.15,7.2
61,Avarua,68,CK,1578444915,78,-21.21,-159.78,301.15,3.6
62,West Bay,90,CA,1578444915,93,49.34,-123.21,284.26,5.7
63,Lorengau,100,PG,1578444915,92,-2.02,147.27,298.95,5.2
64,Melfort,1,CA,1578444915,83,52.87,-104.61,247.15,3.1
65,Andra,10,RU,1578444915,94,62.52,65.89,255.88,1.8
66,Ribeira Grande,20,PT,1578444915,91,38.52,-28.7,289.12,6.96
67,Kolokani,34,ML,1578444915,16,13.58,-8.03,291.7,4.45
68,Kindersley,75,CA,1578444865,70,51.47,-109.16,257.04,6.7
69,Jizan,40,SA,1578444915,78,16.89,42.56,299.15,2.38
70,Touros,40,BR,1578444915,83,-5.2,-35.46,300.15,3.6
71,Kahului,40,US,1578444916,57,20.89,-156.47,300.15,9.3
72,Bluff,57,AU,1578444916,53,-23.58,149.07,300.86,4.81
73,Bitung,75,ID,1578444916,100,1.44,125.19,297.15,2.1
74,Talnakh,75,RU,1578444916,84,69.49,88.39,258.15,10.0
75,Kalmunai,90,LK,1578444916,79,7.42,81.82,300.24,9.26
76,Kondinskoye,49,RU,1578444916,95,59.65,67.41,255.39,3.25
77,Honningsvag,80,NO,1578444916,73,70.98,25.97,276.9,8.15
78,Casa Nova,83,BR,1578444917,95,-16.03,-44.16,294.62,0.84
79,Laguna,90,BZ,1578444917,100,16.17,-88.94,294.15,0.74
80,Barrow,0,AR,1578444917,44,-38.31,-60.23,292.88,4.4
81,Rawson,36,AR,1578444917,36,-43.3,-65.11,295.62,11.2
82,Srednekolymsk,49,RU,1578444917,95,67.46,153.71,244.08,1.74
83,Habiganj,90,BD,1578444917,93,24.38,91.42,286.15,1.92
84,Samarai,100,PG,1578444917,62,-10.62,150.67,303.24,2.44
85,Oussouye,91,SN,1578444917,72,12.49,-16.54,293.15,3.1
86,Mehamn,67,NO,1578444918,87,71.03,27.85,272.84,5.61
87,Brigantine,90,US,1578444918,86,39.41,-74.36,277.04,5.7
88,Nyanguge,40,TZ,1578444918,94,-2.54,33.2,293.15,1.81
89,Port Elizabeth,90,US,1578444918,96,39.31,-74.98,277.04,2.1
90,Peniche,20,PT,1578444918,93,39.36,-9.38,282.59,1.0
91,Tynda,0,RU,1578444918,92,55.15,124.74,247.77,0.88
92,Victoria,75,BN,1578444918,83,5.28,115.24,301.15,3.1
93,Chapais,90,CA,1578444918,85,49.78,-74.86,263.15,6.2
94,Cherkasskoye,99,RU,1578444919,95,52.43,47.21,264.84,1.73
