,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind
0,Longyearbyen,0,NO,1577986229,49,78.22,15.63,257.15,7.2
1,Kaitangata,64,NZ,1577986231,64,-46.28,169.85,284.82,1.79
2,Perdoes,93,BR,1577986232,68,-21.09,-45.09,299.99,2.54
3,Bethel,1,US,1577986234,75,60.79,-161.76,248.15,2.1
4,Rikitea,100,PF,1577986191,80,-23.12,-134.97,298.86,2.81
5,Atuona,2,PF,1577986237,75,-9.8,-139.03,300.18,5.74
6,Sistranda,75,NO,1577986238,87,63.73,8.83,282.04,4.1
7,Mahebourg,75,MU,1577986240,88,-20.41,57.7,300.15,0.59
8,Ribeira Grande,20,PT,1577986242,63,38.52,-28.7,290.15,2.6
9,Isangel,42,VU,1577986243,77,-19.55,169.27,296.54,3.56
10,Port Alfred,93,ZA,1577986245,85,-33.59,26.89,294.82,1.79
11,Carnarvon,0,ZA,1577986246,16,-30.97,22.13,300.7,6.77
12,Herat,40,AF,1577986248,93,34.35,62.22,278.15,1.5
13,Avarua,76,CK,1577986123,94,-21.21,-159.78,295.15,0.5
14,Jaromer,0,CZ,1577986251,44,50.36,15.92,276.48,3.6
15,Qaanaaq,62,GL,1577986252,69,77.48,-69.36,233.04,2.94
16,Moerai,100,PF,1577986254,81,-22.43,-151.33,298.8,12.92
17,Ushuaia,75,AR,1577986186,76,-54.81,-68.31,285.15,8.2
18,Alice Springs,1,AU,1577986239,13,-23.7,133.88,305.15,4.6
19,Hilo,1,US,1577986190,46,19.71,-155.08,294.15,4.1
